REGEX,DESTINATION
(www\.)?uforiamusicseries\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?uforiamusicfestival\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?uforiamusicfest\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?uforiamusicafestival\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?uforiafestival\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?h20concertseries\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?h2oconcertseries\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?euphoriamusicseries\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?euphoriamusicfest\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?euphoriamusic\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?euphoriamusica\.com(.+)?(.*),http://musica.univision.com/shows/uforia-music-festival
(www\.)?uforiaradio\.com(.+)?(.*),http://musica.univision.com?cmpid=vnt:uforiaradio.com
(www\.)?uphoriamusica\.com(.+)?(.*),http://musica.univision.com?cmpid=vnt:uphoriamusica.com
(www\.)?euphoriamusic\.com(.+)?(.*),http://musica.univision.com?cmpid=vnt:euphoriamusic.com
(www\.)?uforia\.co(.+)?(.*),http://musica.univision.com?cmpid=vnt:uforia.co
(www\.)?uforia\.us(.+)?(.*),http://musica.univision.com?cmpid=vnt:uforia.us
(www\.)?noticiasunivision\.com(.+)?diabetes,http://noticias.univision.com/salud/elige-estar-bien/diabetes/
(www\.)?noticiasunivision\.com(.+)?(.*),http://noticias.univision.com/?cmpid=vnt:noticiasunivision.com
(www\.)?noticiasu\.com(.+)?(.*),http://noticias.univision.com/?cmpid=vnt:noticiasu.com
(www\.)?generacionamerica\.com(.+)?orgullosa,http://sitios.univision.com/generacion-america/orgullosa/
(www\.)?generacionamerica\.com(.+)?(.*),http://sitios.univision.com/generacion-america?cmpid=vnt:generacionamerica.com
(www\.)?mexicansoccer\.com(.+)?(.*),http://futbol.univision.com/mexico?cmpid=vnt:mexicansoccer.com
(www\.)?univisionfutbol\.com(.+)?(.*),http://futbol.univision.com?cmpid=vnt:univisionfutbol.com
(www\.)?gigante\.com(.+)?(.*),http://tv.univision.com/sabado-gigante/?cmpid=vnt:gigante.com
(www\.)?univisionnews\.com(.+)?(.*),http://videos.univision.com/noticias/abc-news-univision?cmpid=vnt:univisionnews.com
la\.univision\.com(.+)?(.*),http://univision34.univision.com/kmexupfront
